Tulip Festival,"Tulip festival is an annual celebration that aims to showcase the magic of Tulips in the world famous Tulip garden as part of tourism efforts by the Government of Jammu and Kashmir. It is organized during the onset of spring season in Kashmir valley.Tulips in Kashmir remain in bloom for 15-20 days from the last week of March to mid April, depending upon the weather conditions. Asia’s largest tulip garden situated on the foothills of Zabarwan Range offers a mesmerizing spectacle. More than a million tulips of 62-varieties are expected to bloom in the garden.",14:00,2023-04-03,Tulip Garden Boulevard Road,JK,https://utsav.gov.in/public/uploads/event_picture_image/event_16/16491347261195983292.jpg
Heritage Festival (Mubarak Mandi),"Mubarak Mandi also called the Royal Dogra palaces have a history of more than 150 years. A very beautiful architecture, blended with Baroque, Mughal, Rajasthani and European styles, attracts tourists in large number. The most striking sections of the complex are Sheesh Mahal, Rani Charak Mahal, the old Army Head Quarter, the Foreign Office and the Grey Hall where the Maharaja used to hold his Darbar. The Mubarak Mandi Complex includes the famous Dogra Art Gallery situated in the erstwhile Pink Hall. The museum is a treasure house of miniature paintings from the traditional Hill Schools of art especially the Jammu School of Art, Kangra School of Art and Basohli School of Art. The collection includes hundreds of rare pictures, a gold bow and arrow of the Mughal king Shah Jehan and also hand written Persian manuscripts of Shahnama and Sikandernama. This complex surrounds a beautiful courtyard and a fabulous garden.",15:00,2023-04-02,Mubarak Mandi,JK,https://utsav.gov.in/public/uploads/event_picture_image/event_17/1649135216419269238.jpeg
Badamwari Spring Blossom Fest,"Spring folk songs/Traditional musical events shall be organized to celebrate the advent of Spring.
Live Painting Competition shall be organized for showcasing the beautiful colors of spring by inviting artists and youth from School of Fine Arts Kashmir, other local artists and also artists from outside the UT.
Celebration of spring by relishing of ethnic/street food of Kashmir with special focus on various varieties of Kashmiri breads (more than 25 varieties) kept on display at different places and serving of traditional kehwa and Kashmiri tea(noon chai) in the traditional Samovar.",12:00,2023-03-20,"Badamwari Garden, Kathi Darwaza",JK,https://utsav.gov.in/public/uploads/event_picture_image/event_10/1649076769221230491.jpg
Manasbal Water Sports Festival,"Manasbal lake Resort is a very rich, composite, resource of  Attractions comprising fresh lake(deepest lake of Kashmir)  surrounding landscapes-Forests/mountains/plateaus, Historical park(Jaroka park), with tremendous potential of water recreation like, Shikara sailing/cruise boating/canoeing/kayaking/jet skiing/Angling/water Zorbing/water skiing/paddle boating/cycle run/ hiking etc. Considering the huge potential/ scope of Tourism at Manasbal and to  drift a good number of Visitors to Manasbal; a promotional event is being carried out at Manasbal. This Event will be kick starting of new dimension for promoting the offbeat potential of the Manasbal Resort",13:00,2023-07-21,Manasbal,JK,https://utsav.gov.in/public/uploads/event_picture_image/event_552/16578674771224919521.jpg
"Food Festival, J&K","Food festival is being held at Kongposh Restaurant, Zero Bridge Srinagar. During the festival Kashmiri Wazwan, Dogri Food, Kashmiri Pandit Food will be showcased. Stalls of local Street Food like Seekh-Tujji, Nadir-Munje, Masala-Tchutt, Pani Puri (Gol Gappe), Matka Kulfi etc will be also a part of this Festival. Kehwa with sheermal and Noon-Chai with Makai-Tchutt will also be served. Cultural programmes will be held during the festival.",15:30,2023-07-28,"Kong Posh Restaurant, Zero Bridge",JK,https://utsav.gov.in/public/uploads/event_picture_image/event_562/16583851841944472786.jpg
"Gurez Festival, J&K","In Gurez, one gets to experience the taste of real village life as houses are mostly made of large wooden logs. Traditional mud-color log wood houses makes Gurez no less than an European country. There are many trekking routes which go from Gurez and Tulail leading upto Gangbal and Sonamarg to its east, and Drass and Zanskar to its north. The Kishanganga river offers easy level of rafting, and tough ones from Tulail. Mountains have challenging scope for rock climbing.",11:00,2023-07-30,Gurez,JK,https://utsav.gov.in/public/uploads/event_picture_image/event_238/1658145886310148718.JPG
"Kokernag Festival, J&K","Daksum is a place of solitude, and trekkers destination. Sound of Bringi river flowing by is mesmerizing and this river is famous for trout and has been rightly called Angler’s Haven. Daksum is walkers paradise due to excellent trekking locations. Trekking is the most preferred activity as there is complete calmness to enjoy trek and only sound that touches is sweet murmuring of Bringi river flowing nearby. It is befitting location for camp site for a trek towards Sinthan Top. Excellent location and pleasant climate for camping before starting the trek. It is a trekker’s paradise swathed in coniferous forests, gurgling streams, hidden grassy meadows, where your only company is the sound of the gushing Bringi river or an occasional shepherd tending his flock amid a cluster of nomadic Gujjar hutments. The journey to Daksum provides breath-taking views of wild flowers, blue misted snowy mountains, endless yellow fields of blooming mustard, apple orchards bursting with flowers, and cherry blossoms adding generous splashes of pink to the landscape is a treat.  In winter season, Daksum turns into a haven of white snow.  In summer one can behold the Bring river flowing to its fullest capacity.  Prominent places nearby are Kokernag, Vering, Sinthan Top, Dandipora. Other major attractions are Brengi river, Goran village, Dessu village, Herbal garden, Rajparian Nallah, Rajparian Wildlife sanctuary and Daksum sheep farm.",11:00,2023-08-18,Kokernag,JK,https://utsav.gov.in/public/uploads/event_picture_image/event_594/16595336871250209377.jpg
Kite Festival at Jammu,"Kite Festival: To promote Tourism in Jammu Division in general and recreational tourism in particular Directorate of Tourism, Jammu shall organize 01 day Kite Festival (3rd edition) at Tawi River Front Park in the Heart of the Jammu city. The Festival is being organised on 18th of August, 2023 and it is expected that a number of kite fliers from all age groups shall participate and demonstrate their kite flying skills. The main competition is to battle nearby Kite Fliers to cut their strings and bring down their kites. The thrill and excitement shall linger in the air and it would be enchanting for anyone who celebrates the pleasure of flying kites. Kites of every shade of indigo, red, blue, yellow, green, pink, orange etc. against the blue sky is dazzling site. The idea behind organising the said event is to revive the age old tradition of flying kites and provide the residents of Jammu and tourists, an opportunity to witness “Patang bazzi”. Apart from simple kite flying, the event shall include showcasing of flying of multiple kites simultaneously and flying of mega kite designed with Jammu Tourism Colours. The venue shall be decorated with different colour kites making it appealing to any one witness.",08:00,2023-08-18,Tawi River Front PARK near Jammu,JK,https://utsav.gov.in/public/uploads/event_cover_image/event_712/16606551761473881155.jpg
"POGAL FESTIVAL, District Ramban","Pogal is a valley in the mountains of Jammu Division, in the Indian union territory of Jammu and Kashmir. Since 2014 its area has constituted a separate tehsil within Ramban district. The valley is situated about 30 kilometers far from District Headquarter Ramban and 23 kilometers from Sub-District Banihal. Pogal is derived from two words 'pooh' (Pausha) a month in the Hindu calendar and 'Gul' means flower. A local flora called 'Chhraund' blooms here in the month of 'pooh', a Kashmiri calendar season with lush green meadow of Sargali which are great attraction for locals who trek from pogal for 04 KM (approx.) to spend a relaxing day at Sargali meadows. Inhabitants in Pogal Paristan are mostly agricultural, and grow crops such as Maize, Potatoes, and Pluses (Rajma). The place has several scenic and valiant niches, i.e. Chapnagla, Pasthati etc. Some most famous tourist spot include Sunaseri, Sarwadhar, Hinjni, Dhoobdanda' Tookra' Hamargali, Kakargali, Googli Dhar, Beranbass in Paristan area and Sargali, Rohan Top, Taparwan, Hansraj top in Pogal area. but the only thing that requires the most is better road connectivity. If it gets through then it will create ample resources for the natives to boost the economic constraints.The region is under active consideration under rural tourism through Home stays, local art, culture and cuisine promotion. It has the potential to attract a huge footfall of tourists and has the potential of generating local employment to uplift the socio-economic.The climate is described as pleasant in the summer and cold and harsh in the winter. The destination has been shortlisted as one of the Offbeat destination among 37 offbeat destinations of Jammu Division. To showcase the local lifestyle, culture, natural beauty and other Tourism products, Directorate of Tourism Jammu is organizing a 02 Day Pogal festival w.e.f 3.09.2023 to 4.09.2023.",11:00,2023-09-03,Sargali,JK,https://utsav.gov.in/public/uploads/event_cover_image/event_957/1662205531965155362.jpg
"Border Tourism Festival, J&K (Keran Teetwal)","Teetwal is a small border village near LOC in Kupwara district. Teetwal is connected to district Headquarters via Tanghdar.   The roaring and fast-flowing Kishanganga River in Teetwal is a mesmerizing sight to behold. This river separates India from Pakistan at Teetwal. Teetwal is famous for its Horticulture produce especially walnuts. This area is replete with walnut trees. Teetwal International Bridge is one of the five crossing points along the Line of Control between India and Pakistan. This bridge connects the Tanghdar-Teetwal road in India to the Muzaffarabad-Nausadda-Kundal Shahi road in Pakistan.  Teetwal has great potential as a Border Tourism destination as India and Pakistan are separated here just by river Kishanganga.  Sadhna pass enroute Tanghdar-Teetwal from Kupwara is a wonderful view point.  Other Prominent places in district Kupwara are Lolab valley, Kalaroos caves, and Bungus valley.

Keran is located on the banks of Kishanganga river near LOC. The picturesque Keran Valley is surrounded by dense forests. The views from Kishanganga Valley are breathtaking. Being in the valley, a visitor can watch the habitations across the LoC. The rugged mountains and green fields coupled with Keran being the last village on along the LoC on the Indian side makes the journey to the valley not only pleasant but adventurous too. Prominent places nearby are Lolab valley and Satbaran Kalaroos caves. Red rice and makai roti of keran are very famous.",11:00,2023-08-30,Keran Teetwal,JK,https://utsav.gov.in/public/uploads/event_picture_image/event_595/165953325392662497.jpeg
